symbol,mode,signal,entry,exit,days_held,entry_px,exit_px,ret_pct,pnl_eur,reason
NVDA,复利,2010-04-13,2010-04-15,2010-04-16,1,0.4123,0.3956,-4.053,-405.33,t3 日内止损
NVDA,复利,2010-06-11,2010-06-15,2010-06-16,1,0.2729,0.2674,-2.0,-191.89,t3 日内止损
NVDA,复利,2010-08-25,2010-08-27,2010-08-30,1,0.2317,0.227,-2.0,-188.06,t3 日内止损
NVDA,复利,2010-09-23,2010-09-27,2010-09-28,1,0.2747,0.2692,-2.0,-184.29,t3 日内止损
NVDA,复利,2010-11-02,2010-11-04,2010-11-11,5,0.2839,0.2887,1.694,152.93,收盘价低于 SMA5
NVDA,复利,2011-02-01,2011-02-03,2011-02-07,2,0.5746,0.5631,-2.0,-183.67,t4 日内止损
NVDA,复利,2011-02-24,2011-02-28,2011-03-01,1,0.5188,0.5084,-2.0,-179.99,t3 日内止损
NVDA,复利,2011-03-23,2011-03-25,2011-03-30,3,0.4265,0.4224,-0.966,-85.21,收盘价低于入场价
NVDA,复利,2011-04-13,2011-04-15,2011-04-18,1,0.4283,0.4183,-2.352,-205.4,t3 日内止损
NVDA,复利,2011-05-09,2011-05-11,2011-05-13,2,0.4549,0.4395,-3.372,-287.59,t4 日内止损
NVDA,复利,2011-05-18,2011-05-20,2011-05-23,1,0.4141,0.4059,-2.0,-164.83,t3 日内止损
NVDA,复利,2011-06-21,2011-06-23,2011-06-24,1,0.3711,0.3637,-2.0,-161.53,t3 日内止损
NVDA,复利,2011-09-06,2011-09-08,2011-09-09,1,0.3246,0.3181,-2.0,-158.3,t3 日内止损
NVDA,复利,2011-09-12,2011-09-14,2011-09-19,3,0.3498,0.3466,-0.916,-71.07,收盘价低于入场价
NVDA,复利,2011-09-23,2011-09-27,2011-09-28,1,0.3168,0.3105,-2.0,-153.71,t3 日内止损
NVDA,复利,2012-03-28,2012-03-30,2012-04-03,2,0.3526,0.3455,-2.0,-150.64,t4 日内止损
NVDA,复利,2012-05-25,2012-05-30,2012-05-31,1,0.2878,0.282,-2.0,-147.63,t3 日内止损
NVDA,复利,2012-06-15,2012-06-19,2012-06-21,2,0.3031,0.297,-2.0,-144.68,t4 日内止损
NVDA,复利,2012-08-03,2012-08-07,2012-08-14,5,0.3239,0.334,3.11,220.44,收盘价低于 SMA5
NVDA,复利,2013-06-13,2013-06-17,2013-06-20,3,0.3376,0.3364,-0.345,-25.22,收盘价低于入场价
NVDA,复利,2013-09-10,2013-09-12,2013-09-20,6,0.3677,0.3698,0.573,41.76,收盘价低于 SMA5
NVDA,复利,2013-11-25,2013-11-27,2013-12-05,5,0.3696,0.3696,0.0,0.0,收盘价低于 SMA5
NVDA,复利,2013-12-20,2013-12-24,2014-01-03,6,0.3725,0.3689,-0.948,-69.46,收盘价低于入场价
NVDA,复利,2014-02-11,2014-02-13,2014-02-27,9,0.4087,0.4375,7.048,511.45,收盘价低于 SMA5
NVDA,复利,2014-03-18,2014-03-20,2014-03-24,2,0.4392,0.4304,-2.0,-155.36,t4 日内止损
NVDA,复利,2014-10-14,2014-10-16,2014-11-07,16,0.4164,0.4723,13.41,1020.84,收盘价低于 SMA5
NVDA,复利,2014-11-18,2014-11-20,2014-12-01,6,0.4875,0.4932,1.18,101.87,收盘价低于 SMA5
NVDA,复利,2015-02-02,2015-02-04,2015-02-19,10,0.4831,0.5316,10.02,875.27,收盘价低于 SMA5
NVDA,复利,2015-04-09,2015-04-13,2015-04-16,3,0.5425,0.5411,-0.266,-25.57,收盘价低于入场价
NVDA,复利,2015-07-28,2015-07-30,2015-08-13,10,0.4839,0.5685,17.483,1675.72,收盘价低于 SMA5
NVDA,复利,2015-10-30,2015-11-03,2015-11-04,1,0.6917,0.6779,-2.0,-225.22,t3 日内止损
NVDA,复利,2015-11-16,2015-11-18,2015-11-23,3,0.756,0.7533,-0.354,-39.12,收盘价低于入场价
NVDA,复利,2015-12-21,2015-12-23,2015-12-28,2,0.8054,0.7893,-2.0,-219.93,t4 日内止损
NVDA,复利,2016-01-22,2016-01-26,2016-01-27,1,0.6992,0.6852,-2.0,-215.53,t3 日内止损
NVDA,复利,2016-02-17,2016-02-19,2016-02-26,5,0.7416,0.7718,4.074,430.21,收盘价低于 SMA5
NVDA,复利,2016-05-24,2016-05-26,2016-06-03,5,1.1191,1.1395,1.818,199.84,收盘价低于 SMA5
NVDA,复利,2016-07-11,2016-07-13,2016-07-21,6,1.2939,1.3047,0.834,93.3,收盘价低于 SMA5
NVDA,复利,2016-08-11,2016-08-15,2016-08-17,2,1.544,1.5131,-2.0,-225.69,t4 日内止损
NVDA,复利,2016-12-15,2016-12-19,2016-12-28,6,2.4998,2.6872,7.498,829.16,收盘价低于 SMA5
NVDA,复利,2017-01-24,2017-01-26,2017-01-31,3,2.6971,2.6855,-0.429,-50.96,收盘价低于入场价
NVDA,复利,2017-05-19,2017-05-23,2017-06-02,7,3.3783,3.5413,4.824,570.98,收盘价低于 SMA5
NVDA,复利,2017-07-07,2017-07-11,2017-07-24,9,3.8431,4.0963,6.588,817.49,收盘价低于 SMA5
NVDA,复利,2017-08-22,2017-08-24,2017-08-29,3,4.0762,4.0641,-0.297,-39.23,收盘价低于入场价
NVDA,复利,2017-09-27,2017-09-29,2017-10-20,15,4.4113,4.8587,10.142,1337.28,收盘价低于 SMA5
NVDA,复利,2018-01-17,2018-01-19,2018-02-01,9,5.6821,5.9386,4.515,655.77,收盘价低于 SMA5
NVDA,复利,2018-02-13,2018-02-15,2018-02-21,3,6.0868,5.9636,-2.024,-307.28,收盘价低于入场价
NVDA,复利,2018-05-23,2018-05-25,2018-06-07,8,6.1631,6.4998,5.464,812.56,收盘价低于 SMA5
NVDA,复利,2018-06-28,2018-07-02,2018-07-03,1,5.989,5.8692,-2.0,-313.69,t3 日内止损
NVDA,复利,2018-07-05,2018-07-09,2018-07-13,4,6.1623,6.1641,0.028,4.32,收盘价低于 SMA5
NVDA,复利,2018-08-21,2018-08-23,2018-09-05,8,6.5972,6.8873,4.397,676.0,收盘价低于 SMA5
NVDA,复利,2019-01-11,2019-01-15,2019-01-17,2,3.7111,3.6368,-2.0,-321.02,t4 日内止损
NVDA,复利,2019-06-27,2019-07-01,2019-07-02,1,4.1236,4.0411,-2.0,-314.6,t3 日内止损
NVDA,复利,2020-02-18,2020-02-20,2020-02-21,1,7.6738,7.5203,-2.0,-308.31,t3 日内止损
NVDA,复利,2020-02-26,2020-02-28,2020-03-02,1,6.7176,6.5832,-2.0,-302.14,t3 日内止损
NVDA,复利,2020-05-07,2020-05-11,2020-05-12,1,8.0246,7.8642,-2.0,-296.1,t3 日内止损
NVDA,复利,2020-07-06,2020-07-08,2020-07-13,3,10.1689,10.0059,-1.603,-232.56,收盘价低于入场价
NVDA,复利,2020-07-27,2020-07-29,2020-08-07,7,10.4172,11.1479,7.014,1001.28,收盘价低于 SMA5
NVDA,复利,2020-11-25,2020-11-30,2020-12-03,3,13.3437,13.3422,-0.012,-1.76,收盘价低于入场价
NVDA,复利,2021-02-02,2021-02-04,2021-02-17,8,13.6093,14.8461,9.088,1388.21,收盘价低于 SMA5
NVDA,复利,2021-03-26,2021-03-30,2021-04-19,13,12.8244,15.3053,19.345,3223.61,收盘价低于 SMA5
NVDA,复利,2021-06-22,2021-06-24,2021-07-08,9,19.1393,19.8341,3.63,722.02,收盘价低于 SMA5
NVDA,复利,2021-08-04,2021-08-06,2021-08-10,2,20.2958,19.8899,-2.0,-412.19,t4 日内止损
NVDA,复利,2021-10-28,2021-11-01,2021-11-10,7,25.7425,29.3626,14.063,2840.33,收盘价低于 SMA5
NVDA,复利,2022-01-26,2022-01-28,2022-02-03,4,22.7681,23.8726,4.851,1117.6,收盘价低于 SMA5
NVDA,复利,2022-07-18,2022-07-20,2022-07-22,2,17.7577,17.4025,-2.0,-483.11,t4 日内止损
NVDA,复利,2022-09-08,2022-09-12,2022-09-13,1,14.4691,13.7679,-4.847,-1147.3,t3 日内止损
NVDA,复利,2022-10-21,2022-10-25,2022-10-26,1,13.2282,12.8372,-2.956,-665.85,t3 日内止损
NVDA,复利,2022-10-27,2022-10-31,2022-11-02,2,13.4636,13.1944,-2.0,-437.18,t4 日内止损
NVDA,复利,2022-11-08,2022-11-10,2022-11-16,4,15.7111,15.8707,1.016,217.62,收盘价低于 SMA5
NVDA,复利,2023-01-13,2023-01-18,2023-01-19,1,17.3385,16.9917,-2.0,-432.79,t3 日内止损
NVDA,复利,2023-02-13,2023-02-15,2023-02-16,1,22.7135,22.0839,-2.772,-587.84,t3 日内止损
NVDA,复利,2023-03-29,2023-03-31,2023-04-05,3,27.7201,26.826,-3.226,-665.1,收盘价低于入场价
NVDA,复利,2023-05-15,2023-05-17,2023-05-23,4,30.1162,30.6252,1.69,337.21,收盘价低于 SMA5
NVDA,复利,2023-07-17,2023-07-19,2023-07-20,1,46.9855,46.0458,-2.0,-405.82,t3 日内止损
NVDA,复利,2023-07-25,2023-07-27,2023-08-02,4,45.8108,44.1829,-3.553,-706.6,收盘价低于入场价
NVDA,复利,2023-10-06,2023-10-10,2023-10-13,3,45.7127,45.3764,-0.736,-141.12,收盘价低于入场价
NVDA,复利,2023-12-05,2023-12-07,2023-12-20,9,46.5133,48.0256,3.251,618.98,收盘价低于 SMA5
NVDA,复利,2024-01-05,2024-01-09,2024-01-31,15,53.0457,61.4178,15.783,3102.36,收盘价低于 SMA5
NVDA,复利,2024-02-01,2024-02-05,2024-02-06,1,69.209,67.8248,-2.0,-455.18,t3 日内止损
NVDA,复利,2024-05-20,2024-05-22,2024-05-31,6,94.786,109.4436,15.464,3449.04,收盘价低于 SMA5
NVDA,复利,2024-10-07,2024-10-09,2024-10-15,4,132.4431,131.3947,-0.792,-203.85,收盘价低于入场价
NVDA,复利,2024-11-29,2024-12-03,2024-12-09,4,140.0412,138.603,-1.027,-262.38,收盘价低于入场价
NVDA,复利,2025-01-21,2025-01-23,2025-01-24,1,147.0005,144.0604,-2.0,-505.73,t3 日内止损
NVDA,复利,2025-04-22,2025-04-24,2025-05-20,18,106.281,134.1919,26.261,6507.78,收盘价低于 SMA5
NVDA,复利,2025-07-23,2025-07-25,2025-08-01,5,173.2692,173.4889,0.127,39.67,收盘价低于 SMA5
NVDA,复利,2025-09-29,2025-10-01,2025-10-06,3,187.0015,185.3036,-0.908,-284.44,收盘价低于入场价
NVDA,复利,2025-10-24,2025-10-28,2025-11-04,5,200.7739,198.4369,-1.164,-361.35,收盘价低于入场价
NVDA,复利,2025-12-04,2025-12-08,2025-12-11,3,185.324,180.7096,-2.49,-763.96,收盘价低于入场价
NVDA,复利,2026-02-09,2026-02-11,2026-02-13,2,189.8185,186.0221,-2.0,-598.37,t4 日内止损
NVDA,复利,2026-04-08,2026-04-10,2026-04-21,7,188.4104,199.6473,5.964,1748.67,收盘价低于 SMA5
NVDA,复利,2026-06-11,2026-06-15,2026-06-16,1,212.45,208.201,-2.0,-621.38,t3 日内止损
NVDA,固定仓位,2010-04-13,2010-04-15,2010-04-16,1,0.4123,0.3956,-4.053,-405.33,t3 日内止损
NVDA,固定仓位,2010-06-11,2010-06-15,2010-06-16,1,0.2729,0.2674,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2010-08-25,2010-08-27,2010-08-30,1,0.2317,0.227,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2010-09-23,2010-09-27,2010-09-28,1,0.2747,0.2692,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2010-11-02,2010-11-04,2010-11-11,5,0.2839,0.2887,1.694,169.35,收盘价低于 SMA5
NVDA,固定仓位,2011-02-01,2011-02-03,2011-02-07,2,0.5746,0.5631,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2011-02-24,2011-02-28,2011-03-01,1,0.5188,0.5084,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2011-03-23,2011-03-25,2011-03-30,3,0.4265,0.4224,-0.966,-96.62,收盘价低于入场价
NVDA,固定仓位,2011-04-13,2011-04-15,2011-04-18,1,0.4283,0.4183,-2.352,-235.16,t3 日内止损
NVDA,固定仓位,2011-05-09,2011-05-11,2011-05-13,2,0.4549,0.4395,-3.372,-337.19,t4 日内止损
NVDA,固定仓位,2011-05-18,2011-05-20,2011-05-23,1,0.4141,0.4059,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2011-06-21,2011-06-23,2011-06-24,1,0.3711,0.3637,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2011-09-06,2011-09-08,2011-09-09,1,0.3246,0.3181,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2011-09-12,2011-09-14,2011-09-19,3,0.3498,0.3466,-0.916,-91.63,收盘价低于入场价
NVDA,固定仓位,2011-09-23,2011-09-27,2011-09-28,1,0.3168,0.3105,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2012-03-28,2012-03-30,2012-04-03,2,0.3526,0.3455,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2012-05-25,2012-05-30,2012-05-31,1,0.2878,0.282,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2012-06-15,2012-06-19,2012-06-21,2,0.3031,0.297,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2012-08-03,2012-08-07,2012-08-14,5,0.3239,0.334,3.11,310.96,收盘价低于 SMA5
NVDA,固定仓位,2013-06-13,2013-06-17,2013-06-20,3,0.3376,0.3364,-0.345,-34.5,收盘价低于入场价
NVDA,固定仓位,2013-09-10,2013-09-12,2013-09-20,6,0.3677,0.3698,0.573,57.32,收盘价低于 SMA5
NVDA,固定仓位,2013-11-25,2013-11-27,2013-12-05,5,0.3696,0.3696,0.0,0.0,收盘价低于 SMA5
NVDA,固定仓位,2013-12-20,2013-12-24,2014-01-03,6,0.3725,0.3689,-0.948,-94.82,收盘价低于入场价
NVDA,固定仓位,2014-02-11,2014-02-13,2014-02-27,9,0.4087,0.4375,7.048,704.8,收盘价低于 SMA5
NVDA,固定仓位,2014-03-18,2014-03-20,2014-03-24,2,0.4392,0.4304,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2014-10-14,2014-10-16,2014-11-07,16,0.4164,0.4723,13.41,1340.97,收盘价低于 SMA5
NVDA,固定仓位,2014-11-18,2014-11-20,2014-12-01,6,0.4875,0.4932,1.18,118.0,收盘价低于 SMA5
NVDA,固定仓位,2015-02-02,2015-02-04,2015-02-19,10,0.4831,0.5316,10.02,1001.98,收盘价低于 SMA5
NVDA,固定仓位,2015-04-09,2015-04-13,2015-04-16,3,0.5425,0.5411,-0.266,-26.61,收盘价低于入场价
NVDA,固定仓位,2015-07-28,2015-07-30,2015-08-13,10,0.4839,0.5685,17.483,1748.26,收盘价低于 SMA5
NVDA,固定仓位,2015-10-30,2015-11-03,2015-11-04,1,0.6917,0.6779,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2015-11-16,2015-11-18,2015-11-23,3,0.756,0.7533,-0.354,-35.45,收盘价低于入场价
NVDA,固定仓位,2015-12-21,2015-12-23,2015-12-28,2,0.8054,0.7893,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2016-01-22,2016-01-26,2016-01-27,1,0.6992,0.6852,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2016-02-17,2016-02-19,2016-02-26,5,0.7416,0.7718,4.074,407.36,收盘价低于 SMA5
NVDA,固定仓位,2016-05-24,2016-05-26,2016-06-03,5,1.1191,1.1395,1.818,181.82,收盘价低于 SMA5
NVDA,固定仓位,2016-07-11,2016-07-13,2016-07-21,6,1.2939,1.3047,0.834,83.37,收盘价低于 SMA5
NVDA,固定仓位,2016-08-11,2016-08-15,2016-08-17,2,1.544,1.5131,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2016-12-15,2016-12-19,2016-12-28,6,2.4998,2.6872,7.498,749.78,收盘价低于 SMA5
NVDA,固定仓位,2017-01-24,2017-01-26,2017-01-31,3,2.6971,2.6855,-0.429,-42.87,收盘价低于入场价
NVDA,固定仓位,2017-05-19,2017-05-23,2017-06-02,7,3.3783,3.5413,4.824,482.38,收盘价低于 SMA5
NVDA,固定仓位,2017-07-07,2017-07-11,2017-07-24,9,3.8431,4.0963,6.588,658.84,收盘价低于 SMA5
NVDA,固定仓位,2017-08-22,2017-08-24,2017-08-29,3,4.0762,4.0641,-0.297,-29.66,收盘价低于入场价
NVDA,固定仓位,2017-09-27,2017-09-29,2017-10-20,15,4.4113,4.8587,10.142,1014.15,收盘价低于 SMA5
NVDA,固定仓位,2018-01-17,2018-01-19,2018-02-01,9,5.6821,5.9386,4.515,451.53,收盘价低于 SMA5
NVDA,固定仓位,2018-02-13,2018-02-15,2018-02-21,3,6.0868,5.9636,-2.024,-202.44,收盘价低于入场价
NVDA,固定仓位,2018-05-23,2018-05-25,2018-06-07,8,6.1631,6.4998,5.464,546.37,收盘价低于 SMA5
NVDA,固定仓位,2018-06-28,2018-07-02,2018-07-03,1,5.989,5.8692,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2018-07-05,2018-07-09,2018-07-13,4,6.1623,6.1641,0.028,2.81,收盘价低于 SMA5
NVDA,固定仓位,2018-08-21,2018-08-23,2018-09-05,8,6.5972,6.8873,4.397,439.67,收盘价低于 SMA5
NVDA,固定仓位,2019-01-11,2019-01-15,2019-01-17,2,3.7111,3.6368,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2019-06-27,2019-07-01,2019-07-02,1,4.1236,4.0411,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2020-02-18,2020-02-20,2020-02-21,1,7.6738,7.5203,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2020-02-26,2020-02-28,2020-03-02,1,6.7176,6.5832,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2020-05-07,2020-05-11,2020-05-12,1,8.0246,7.8642,-2.0,-200.0,t3 日内止损
NVDA,固定仓位,2020-07-06,2020-07-08,2020-07-13,3,10.1689,10.0059,-1.603,-160.29,收盘价低于入场价
NVDA,固定仓位,2020-07-27,2020-07-29,2020-08-07,7,10.4172,11.1479,7.014,701.35,收盘价低于 SMA5
NVDA,固定仓位,2020-11-25,2020-11-30,2020-12-03,3,13.3437,13.3422,-0.012,-1.15,收盘价低于入场价
NVDA,固定仓位,2021-02-02,2021-02-04,2021-02-17,8,13.6093,14.8461,9.088,908.76,收盘价低于 SMA5
NVDA,固定仓位,2021-03-26,2021-03-30,2021-04-19,13,12.8244,15.3053,19.345,1934.47,收盘价低于 SMA5
NVDA,固定仓位,2021-06-22,2021-06-24,2021-07-08,9,19.1393,19.8341,3.63,363.05,收盘价低于 SMA5
NVDA,固定仓位,2021-08-04,2021-08-06,2021-08-10,2,20.2958,19.8899,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2021-10-28,2021-11-01,2021-11-10,7,25.7425,29.3626,14.063,1406.28,收盘价低于 SMA5
NVDA,固定仓位,2022-01-26,2022-01-28,2022-02-03,4,22.7681,23.8726,4.851,485.11,收盘价低于 SMA5
NVDA,固定仓位,2022-07-18,2022-07-20,2022-07-22,2,17.7577,17.4025,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2022-09-08,2022-09-12,2022-09-13,1,14.4691,13.7679,-4.847,-484.66,t3 日内止损
NVDA,固定仓位,2022-10-21,2022-10-25,2022-10-26,1,13.2282,12.8372,-2.956,-295.6,t3 日内止损
NVDA,固定仓位,2022-10-27,2022-10-31,2022-11-02,2,13.4636,13.1944,-2.0,-200.0,t4 日内止损
NVDA,固定仓位,2022-11-08,2022-11-10,2022-11-16,4,15.7111,15.8707,1.016,101.59,收盘价低于 SMA5
NVDA,固定仓位,2023-01-13,2023-01-18,2023-01-19,1,17.3385,16.9917,-2.0,-200.0,t3 日内止损
